variant,structure,family,maturity_months,roll_months,channel,metric,value,control_value,difference,ratio
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,theta,theta_burden_per_year,-0.02769418211,-0.02769418211,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,vega,vega_per_nav,0.1925099171,0.1925099171,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,delta instability,mean_delta_exposure,0.7861401871,0.7861401871,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,delta instability,delta_exposure_sd,0.1861970239,0.1861970239,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,delta instability,delta_exposure_p5,0.4337384877,0.4337384877,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,delta instability,delta_exposure_p50,0.8006694637,0.8006694637,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,delta instability,delta_exposure_p95,1.073250229,1.073250229,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,delta instability,min_exposure_after_loss,0.1162474758,0.1162474758,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,roll frequency,rolls,40,40,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,roll frequency,option_turnover_per_year,0.2504628677,0.2504628677,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,roll frequency,cost_drag_bps,69.18206956,69.18206956,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,roll frequency,mean_premium_fraction_of_nav,0.25,0.25,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,roll frequency,mean_exit_premium_ratio,1.522360845,1.522360845,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,recovery,recovery_exposure,0.8426295553,0.8426295553,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,recovery,recovery_exposure_ratio,1.071856609,1.071856609,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,recovery,prob_underexposed_recovery_10y,0.1469496021,0.1469496021,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,recovery,prob_underexposed_recovery_20y,0.127293578,0.127293578,0,1
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,24,12,recovery,prob_underexposed_recovery_30y,0.1387141859,0.1387141859,0,1
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,theta,theta_burden_per_year,-0.03704545637,-0.02769418211,-0.009351274263,1.337662048
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,vega,vega_per_nav,0.1720363734,0.1925099171,-0.02047354365,0.893649408
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,delta instability,mean_delta_exposure,0.8654386258,0.7861401871,0.07929843869,1.100870608
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,delta instability,delta_exposure_sd,0.1832425339,0.1861970239,-0.002954490004,0.9841324531
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,delta instability,delta_exposure_p5,0.5040955331,0.4337384877,0.07035704541,1.16221075
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,delta instability,delta_exposure_p50,0.8900565875,0.8006694637,0.08938712384,1.111640481
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,delta instability,delta_exposure_p95,1.141931093,1.073250229,0.0686808636,1.063993337
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,delta instability,min_exposure_after_loss,0.1574783088,0.1162474758,0.041230833,1.354681534
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,roll frequency,rolls,80,40,40,2
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,roll frequency,option_turnover_per_year,0.5009257354,0.2504628677,0.2504628677,2
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,roll frequency,cost_drag_bps,128.7473817,69.18206956,59.56531218,1.8609935
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,roll frequency,mean_premium_fraction_of_nav,0.25,0.25,0,1
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,roll frequency,mean_exit_premium_ratio,1.27177081,1.522360845,-0.250590035,0.8353937992
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,recovery,recovery_exposure,0.8973917549,0.8426295553,0.05476219965,1.06498965
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,recovery,recovery_exposure_ratio,1.036921312,1.071856609,-0.03493529762,0.9674067433
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,recovery,prob_underexposed_recovery_10y,0.06453048509,0.1469496021,-0.08241911703,0.4391334455
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,recovery,prob_underexposed_recovery_20y,0.05942695437,0.127293578,-0.06786662361,0.4668495875
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,recovery,prob_underexposed_recovery_30y,0.05583756345,0.1387141859,-0.08287662243,0.4025367924
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,theta,theta_burden_per_year,-0.03345238598,-0.02769418211,-0.005758203869,1.207921066
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,vega,vega_per_nav,0.1401998831,0.1925099171,-0.052310034,0.7282735623
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,delta instability,mean_delta_exposure,0.8631993471,0.7861401871,0.07705916006,1.098022161
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,delta instability,delta_exposure_sd,0.203358752,0.1861970239,0.01716172813,1.092169723
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,delta instability,delta_exposure_p5,0.4438455697,0.4337384877,0.01010708208,1.023302249
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,delta instability,delta_exposure_p50,0.8916435002,0.8006694637,0.09097403657,1.113622463
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,delta instability,delta_exposure_p95,1.144217332,1.073250229,0.07096710275,1.066123538
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,delta instability,min_exposure_after_loss,0.1345536871,0.1162474758,0.01830621136,1.157476205
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,roll frequency,rolls,48,40,8,1.2
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,roll frequency,option_turnover_per_year,0.3005554413,0.2504628677,0.05009257354,1.2
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,roll frequency,cost_drag_bps,81.35531918,69.18206956,12.17324962,1.175959605
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,roll frequency,mean_premium_fraction_of_nav,0.25,0.25,0,1
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,roll frequency,mean_exit_premium_ratio,1.457802778,1.522360845,-0.06455806745,0.9575934525
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,recovery,recovery_exposure,0.5189031751,0.8426295553,-0.3237263801,0.6158141165
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,recovery,recovery_exposure_ratio,0.6011394435,1.071856609,-0.4707171657,0.5608394241
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,recovery,prob_underexposed_recovery_10y,0.126791142,0.1469496021,-0.02015846013,0.8628205872
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,recovery,prob_underexposed_recovery_20y,0.1237329605,0.127293578,-0.003560617478,0.9720283023
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,recovery,prob_underexposed_recovery_30y,0.116734143,0.1387141859,-0.02198004283,0.8415443763
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,theta,theta_burden_per_year,-0.03409611687,-0.02769418211,-0.006401934764,1.231165331
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,vega,vega_per_nav,0.1169295203,0.1925099171,-0.07558039678,0.6073947882
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,delta instability,mean_delta_exposure,0.8893959036,0.7861401871,0.1032557165,1.13134517
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,delta instability,delta_exposure_sd,0.2024921852,0.1861970239,0.01629516127,1.087515691
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,delta instability,delta_exposure_p5,0.4978863341,0.4337384877,0.0641478464,1.147895214
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,delta instability,delta_exposure_p50,0.9122766306,0.8006694637,0.111607167,1.139392311
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,delta instability,delta_exposure_p95,1.174230729,1.073250229,0.1009804995,1.094088496
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,delta instability,min_exposure_after_loss,0.0002352288658,0.1162474758,-0.1160122469,0.002023518052
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,roll frequency,rolls,40,40,0,1
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,roll frequency,option_turnover_per_year,0.2504628677,0.2504628677,0,1
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,roll frequency,cost_drag_bps,71.96323762,69.18206956,2.781168062,1.040200706
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,roll frequency,mean_premium_fraction_of_nav,0.25,0.25,0,1
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,roll frequency,mean_exit_premium_ratio,1.607372495,1.522360845,0.08501165022,1.055841984
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,recovery,recovery_exposure,0.9440690556,0.8426295553,0.1014395003,1.120384456
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,recovery,recovery_exposure_ratio,1.061472233,1.071856609,-0.01038437644,0.9903117858
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,recovery,prob_underexposed_recovery_10y,0.1379310345,0.1469496021,-0.009018567639,0.9386281588
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,recovery,prob_underexposed_recovery_20y,0.1237077877,0.127293578,-0.003585790249,0.9718305487
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,recovery,prob_underexposed_recovery_30y,0.1333333333,0.1387141859,-0.005380852551,0.961209068
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,theta,theta_burden_per_year,-0.02614876826,-0.02769418211,0.001545413855,0.9441971657
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,vega,vega_per_nav,0.216877326,0.1925099171,0.02436740889,1.126577421
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,delta instability,mean_delta_exposure,0.7554678109,0.7861401871,-0.03067237617,0.9609835794
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_sd,0.1827731432,0.1861970239,-0.003423880672,0.9816115177
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_p5,0.4385478795,0.4337384877,0.004809391882,1.011088229
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_p50,0.7623630987,0.8006694637,-0.03830636493,0.9521570802
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,delta instability,delta_exposure_p95,1.062158137,1.073250229,-0.01109209198,0.9896649526
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,delta instability,min_exposure_after_loss,0.2612791885,0.1162474758,0.1450317127,2.247611716
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,roll frequency,rolls,40,40,0,1
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,roll frequency,option_turnover_per_year,0.2504628677,0.2504628677,0,1
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,roll frequency,cost_drag_bps,69.36918121,69.18206956,0.1871116478,1.002704626
